
sp 07/04/2017 ICOM_SP                        TABLE                      0    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
rj 14/02/2017 ICOM_RJ                        TABLE                      0  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
rs 08/02/2017 ICOM_RS                        TABLE                      0       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
pa 03/03/2017 ICOM_PA                        TABLE                      0       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
df 30/01/2017 ICOM_DF                        TABLE                      0      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
go 03/02/2017 ICOM_GO                        TABLE                  0 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ba 13/02/2017 ICOM_BA                        TABLE                  0 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ma 08/02/2017 ICOM_MA                        TABLE                    0       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
pr 03/02/2017 ICOM_PR                        TABLE                      0      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
br 01/02/2017 ICOM                           TABLE                      0      0



sp 03/05/2017 PM                             LOBSEGMENT                 17     1,3125                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 PM                             NESTED TABLE                1      ,0625                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 SCA                            TABLE                      10      ,8125                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 SCA                            INDEX                       9       ,625                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 ICOM_SP                        TABLE                      29  2688,4375                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 DDIGITAL_SP                    LOBSEGMENT                  6 10310504,1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 DMSYS                          INDEX                       2       ,125                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 XDB                            TABLE                      51     4,6875                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 XDB                            LOBINDEX                  346     21,625                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
sp 03/05/2017 SCOTT                          TABLE                       4        ,25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
